timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/19 22:20:28.340, 0, 50 %, 17 %, 717 MiB, 49140 MiB, 165.71 W, 300.00 W, 58, 2700 MHz
2026/09/19 22:20:29.342, 0, 44 %, 9 %, 717 MiB, 49140 MiB, 147.52 W, 300.00 W, 54, 2700 MHz
2026/09/19 22:20:30.342, 0, 41 %, 8 %, 717 MiB, 49140 MiB, 112.38 W, 300.00 W, 56, 2700 MHz
2026/09/19 22:20:31.343, 0, 0 %, 0 %, 715 MiB, 49140 MiB, 86.86 W, 300.00 W, 52, 2685 MHz
2026/09/19 22:20:32.344, 0, 0 %, 0 %, 715 MiB, 49140 MiB, 66.68 W, 300.00 W, 52, 2505 MHz
2026/09/19 22:20:33.344, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 56.56 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:20:34.345, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 55.28 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:20:35.345, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 41.44 W, 300.00 W, 50, 495 MHz
2026/09/19 22:20:36.346, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 27.87 W, 300.00 W, 50, 300 MHz
2026/09/19 22:20:37.346, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 23.15 W, 300.00 W, 49, 210 MHz
2026/09/19 22:20:38.347, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 20.23 W, 300.00 W, 49, 210 MHz
2026/09/19 22:20:39.348, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 22.21 W, 300.00 W, 49, 210 MHz
2026/09/19 22:20:40.348, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 22.42 W, 300.00 W, 49, 210 MHz
2026/09/19 22:20:41.352, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 22.37 W, 300.00 W, 49, 210 MHz
2026/09/19 22:20:42.352, 0, 14 %, 1 %, 701 MiB, 49140 MiB, 26.25 W, 300.00 W, 49, 2505 MHz
2026/09/19 22:20:43.353, 0, 5 %, 0 %, 795 MiB, 49140 MiB, 57.40 W, 300.00 W, 49, 2505 MHz
2026/09/19 22:20:44.353, 0, 48 %, 9 %, 1089 MiB, 49140 MiB, 86.59 W, 300.00 W, 53, 2715 MHz
2026/09/19 22:20:45.354, 0, 54 %, 23 %, 1087 MiB, 49140 MiB, 120.62 W, 300.00 W, 55, 2715 MHz
2026/09/19 22:20:46.355, 0, 47 %, 10 %, 875 MiB, 49140 MiB, 132.71 W, 300.00 W, 53, 2700 MHz
2026/09/19 22:20:47.355, 0, 47 %, 11 %, 717 MiB, 49140 MiB, 123.35 W, 300.00 W, 56, 2700 MHz
2026/09/19 22:20:48.356, 0, 54 %, 20 %, 1087 MiB, 49140 MiB, 153.41 W, 300.00 W, 53, 2700 MHz
